id,section,title,value,unit,value_raw,fact_class,source_org,source_date,document,page,pdf_page,chapter,details,source_url,accessed
SJEV-CASE-004,disruption_case_studies,Pure re-routing cost per 40ft container,300,USD per 40ft container,~$300,FACT,ITF-OECD,2024-03-18,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,ITF-OECD put the pure re-routing cost at roughly $300 per 40ft container before insurance premiums. Source index entry #18.,,
SJEV-CASE-010,disruption_case_studies,US average effective tariff rate,16.8,percent,16.8%,FACT,z2data,2025-12-15,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,The US average effective tariff rate reached 16.8% by November 2025. Source index entry #19.,,
SJEV-CASE-011,disruption_case_studies,De minimis exemption ended,800,USD threshold,under $800; ended 29 Aug 2025,FACT,whitehouse.gov,2025-07-30 (effective 2025-08-29),SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,"The de minimis exemption - duty-free entry for packages under $800 - ended for all countries on 29 August 2025, forcing every e-commerce and DTC flow through formal customs. Source index entry #19.",,
SJEV-CASE-012,disruption_case_studies,Tariff changes affect share of global supply chain activities,30,percent,30%,FACT,McKinsey,2025-12,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2; concept C2 card (p.28),McKinsey reported that tariff changes now affect 30% of global supply chain activities. Source index entry #19.,,
SJEV-CASE-013,disruption_case_studies,Firms that rerouted shipments or changed suppliers,50,percent,50%,FACT,US National Foreign Trade Council,2025-08,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2; concept C2 card (p.28),50% of surveyed firms had already rerouted shipments or changed suppliers in response to tariff changes. Source index entry #19.,,
SJEV-CASE-014,disruption_case_studies,C-suite executives adapting to tariffs,77,percent,77%,FACT,KPMG C-suite survey (300 executives),2025-05,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,KPMG's May 2025 C-suite survey (300 executives) recorded 77% adapting. Source index entry #19.,,
SJEV-CASE-021,disruption_case_studies,US East & Gulf Coast port strike backlog,3,days strike; weeks backlog,3 days; weeks to clear,FACT,Xeneta,2024-10-04,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,"The October 2024 US East and Gulf Coast port strike lasted three days but produced a backlog that Xeneta said would take weeks to clear - recovery sequencing, not awareness, is the bottleneck. Source index entry #17.",,
SJEV-CASE-022,disruption_case_studies,2021 semiconductor shortage cost to auto industry,$110-210bn,USD in one year,$110-210bn,FACT,AlixPartners (via CNBC),2021-05,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2; Figure 1,The 2021 semiconductor shortage cost the auto industry $110-210bn in one year. Source index entry #20.,,
SJEV-CASE-023,disruption_case_studies,Global auto production cut by chip shortage,26,percent in nine months,-26%,FACT,AlixPartners (via CNBC); JPMorgan Apr 2023 context,2021,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2,Cut global auto production by 26% in nine months. Source index entry #20.,,
SJEV-CASE-024,disruption_case_studies,Blue Yonder ransomware downstream estimate,3.5m,downstream estimate,3.5m,FACT,TechMonitor / BlackKite / Interos,2024-11 to 2024-12,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,80,86,Source index #16,Blue Yonder ransomware event; 3.5m downstream estimate. Also referenced via persona Rajat: 'do not make us dependent on one more SaaS that can ransomware us' (p.38).,,
SJEV-CASE-025,disruption_case_studies,Critical risks flagged for 2026,22,critical risks,22,FACT,z2data,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,63,69,Q&A #21,22 critical risks flagged for 2026 (z2data) - structural disruption is the point; the scenario library refreshes quarterly from live signals.,,
SJEV-PHARMA-001,pharma_cold_chain_losses,WHO estimate: share of all vaccines wasted globally every year,50,percent (up to),up to half,FACT,WHO (via UNEP); repeated Nov 2025 industry reporting,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,6,12,Ch.2.4 The pharmaceutical leak; Figure 3 (p.7),"Up to half of all vaccines are wasted globally every year, with temperature control and logistics failures a leading cause. Source index #24 lists '50% vaccines compromised'.",,
SJEV-PHARMA-002,pharma_cold_chain_losses,Annual vaccine wastage from temperature failures alone,1 in 4,doses,roughly one in four doses,FACT,2025 industry analysis,2025,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,6,12,Ch.2.4,A parallel 2025 analysis puts annual vaccine wastage from temperature failures alone at roughly one in four doses.,,
SJEV-PHARMA-003,pharma_cold_chain_losses,Temperature-sensitive pharmaceuticals damaged or exposed to significant excursions in transport,20,percent (about),about twenty percent,FACT,Industry estimates (EROAD 2025 among sources),2025,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,6,12,Ch.2.4; Figure 3,About twenty percent of all temperature-sensitive pharmaceuticals are damaged by or at least exposed to significant temperature excursions during transport.,,
SJEV-PHARMA-004,pharma_cold_chain_losses,Pharmaceutical shipments still registering excursions despite data loggers,12,percent (roughly),roughly twelve percent,FACT,Pharmaceutical trade press,2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,7,13,Ch.2.4; Figure 3,Roughly twelve percent of pharmaceutical shipments still register excursions even in an era of ubiquitous data loggers.,,
SJEV-PHARMA-005,pharma_cold_chain_losses,"Temperature drift that can degrade biologics, vaccines and insulin",1-2,degrees Celsius,one-to-two degree drift,FACT,2025-26 trade press,2025-2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,7,13,Ch.2.4,"A one-to-two degree drift can degrade biologics, vaccines and insulin - sensitivity is brutal at the margin.",,
SJEV-PHARMA-007,pharma_cold_chain_losses,Annual pharmaceutical losses from cold-chain failures,35,USD billion/year,$35bn/yr,FACT,Sensos (2025-06); tempcontrolpack (2025-11); pharmaceuticalmanufacturer.media (2026-02),2025-2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,Ch.1; Figure 1; concept C5 (p.29); Q&A #17 (p.63),$35bn/yr pharmaceutical losses from cold-chain failures alone. Source index entry #24.,,
SJEV-PHARMA-008,pharma_cold_chain_losses,Biologics shipments that fail on temperature,20,percent (up to),up to 20%,FACT,Industry reporting (source index #24),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,3,9,Ch.1; concept C5 (p.29); Ch.1 'why customers would pay',Up to 20% of biologics shipments fail on temperature - anchors the $15k-50k ACV justification from a single prevented incident.,,
SJEV-PHARMA-013,pharma_cold_chain_losses,Demo scenario anchor: insulin pallet ground dwell,38C tarmac; 40 minutes unplanned dwell,,38-degree-Celsius tarmac; forty minutes,SPEC,Dossier demo design (based on Kanwal 2026),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,44,50,Ch.14.3 Sanjivani v2,A Delhi-to-Frankfurt insulin pallet is delayed at the origin airport; ground handling leaves it on a 38-degree-Celsius tarmac for an unplanned forty minutes - the exact failure window the 2026 air-cargo studies identify as dominant.,,
SJEV-MKT-001,market_sizes,Healthcare cold chain logistics market,$62.5bn (2025) to $95.1bn (2030),USD,$62.5bn to $95.1bn,FACT,Mordor Intelligence,2025-07-22,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,7,13,"Ch.2.6; references (Mordor Intelligence, July 22, 2025)",Healthcare cold chain logistics is projected to expand from 62.5 billion dollars in 2025 to 95.1 billion by 2030.,,
SJEV-MKT-002,market_sizes,Cold chain monitoring market,~$35bn (2024) toward ~$120bn (2030),USD,~$35bn to ~$120bn,FACT,Grand View Research,2025,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,8,14,Ch.2.6; references,Cold chain monitoring from roughly 35 billion dollars in 2024 toward 120 billion by 2030 on Grand View Research's broader definition.,,
SJEV-MKT-003,market_sizes,Share of biopharma logistics spend going to cold chain management,18,percent (about),about eighteen percent,FACT,Industry estimate (dossier),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,8,14,Ch.2.6,About eighteen percent of all biopharma logistics spend already goes to cold chain management.,,
SJEV-MKT-004,market_sizes,India cold chain logistics market,$16.4bn (2025) to $31.4bn (2031),USD; 11.5% CAGR,$16.4bn to $31.4bn; 11.5% CAGR,FACT,Dossier cited analyst estimates,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,23,29,Ch.9 India Ground Reality,The India cold chain logistics market is forecast to double from roughly 16.4 billion dollars in 2025 to 31.4 billion by 2031 (11.5 percent CAGR).,,
SJEV-MKT-005,market_sizes,Wider India cold chain market and pharma share,"Rs 2,535bn total; pharma ~Rs 620bn",INR,"2,535 billion rupees; ~620 billion rupees",FACT,Analyst estimates (dossier),2025,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,23,29,Ch.9,"Some analysts put the wider market at 2,535 billion rupees in 2025 and pharma cold chain at about 620 billion rupees within it.",,
SJEV-MKT-006,market_sizes,SaaS median ACV benchmark,24266,USD,"$24,266",FACT,SaaS Capital,2026-08-14,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,77,83,Ch.27 Financial Model anchors; source index #27,"SaaS median ACV $24,266 per SaaS Capital 2026 - benchmark-anchored input for the financial model.",,
SJEV-MKT-007,market_sizes,Mid-market SaaS ACV band,$15k-50k,USD,$15k-50k,FACT,OpenView; RevTek,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,81,87,Source index #27; Ch.1; Q&A #10/#18,Mid-market band $15k-50k ACV. Product pricing: $15k-50k ACV mid-market with success fees (Ch.1); tiers $18k/$36k/$60k (BMC).,,
SJEV-MKT-008,market_sizes,Mid-market SaaS gross margin benchmark,75-85%,percent,75-85%,FACT,Dossier benchmark statement,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,63,69,Q&A #18 unit economics; Ch.26.2 cost structure,Gross margin 75-85% typical for mid-market SaaS with modest LLM + cloud inference costs per customer.,,
SJEV-COMP-010,competitors,Everstream - funding and SAP status,50,USD million raised,$50m,FACT,SAP listings / funding news,2023-04,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,80,86,Source index #15; Ch.11 (p.27),Everstream raised $50m (Apr 2023); listed by SAP as an IBP integration partner selling the pattern 'external risk signals become planning-relevant feeds'. None close the loop into execution.,,
SJEV-COMP-011,competitors,Prewave - funding and SAP status,67,USD million raised,$67m,FACT,Funding news / SAP Store,2024-06,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,80,86,Source index #15; Ch.11,Prewave raised $67m (Jun 2024); SAP-store certified integrations; sells risk-feeds-into-IBP pattern; does not close the loop into execution.,,
SJEV-COMP-012,competitors,Interos - funding,~$310m total; $40m Oct 2024 + $20m Jan 2026,USD,~$310m,FACT,Funding news,2024-2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,80,86,Source index #15,Interos total funding ~$310m; $40m round Oct 2024 plus $20m Jan 2026.,,
SJEV-COMP-013,competitors,Altana - funding,$200m at $1bn valuation,USD,$200m @ $1bn,FACT,Funding news,2024-07,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,80,86,Source index #15; Table 3 note (p.11),Altana raised $200m at a $1bn valuation (Jul 2024); named (with Interos) as strong in supply-chain graph in the capability matrix.,,
SJEV-RSH-001,research_papers,Jannelli (2026): Agentic LLMs in the supply chain,87,citations (approx),~87 / nearly ninety,FACT,"Jannelli et al., Taylor & Francis",2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,13,19,Ch.6; Table 4; source index #11,Introduces supply-chain-specific consensus-seeking mechanisms for autonomous agent coordination; ~87 citations signal a live field. Formalized 'Agentic LLMs in the Supply Chain' for autonomous consensus-seeking among supply chain parties.,,
SJEV-RSH-005,research_papers,"VacSIM (Awasthi et al., 2022)",9000,preventable cases in 45 days (approx),"~9,000 in 45 days",FACT,"Awasthi, R., et al. (ScienceDirect)",2022,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,13,19,Ch.6; Table 4; references,Indian-led reinforcement-learning platform for COVID-19 vaccine distribution; demonstrated preventable cases on the order of nine thousand within forty-five days - Indian evidence.,,
SJEV-RSH-008,research_papers,Konovalenko and Ludwig (2021),29,citations (approx),~29 citations,FACT,ScienceDirect,2021,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,14,20,Table 4; references,ML classifiers for temperature deviation monitoring in pharma supply chains. Full ref: 'Comparison of machine learning classifiers for temperature monitoring in a pharmaceutical supply chain'.,,
SJEV-RSH-014,research_papers,OR-LLM-Agent (arXiv:2503.10009),100% pass / 85% accuracy,,100% pass rate; 85% solution accuracy,FACT,arXiv,2025-03 (v3 2025-08),SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,15,21,Ch.6; source index #9,"Built the first end-to-end agent that decomposes operations research problems into modeling, code generation and solving - proof that 'LLM writes the model, solver does the math' is a viable pattern.",,
SJEV-RSH-016,research_papers,Tsinghua FIB lab survey: LLM-empowered agent-based modeling,550,citations (approx),~550 citations,FACT,"Tsinghua FIB lab, Nature-family venue",2024,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,15,21,Ch.6; source index #12,Legitimized LLM-driven simulation agents.,,
SJEV-RSH-017,research_papers,First SC disruption-monitoring evaluation dataset (agentic AI),30,curated scenarios,30 curated scenarios,FACT,arXiv,2026-01-14,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,15,21,Ch.6; source index #10,"In January 2026, arXiv published the first comprehensive evaluation dataset for supply chain disruption monitoring via agentic AI (30 curated scenarios) - the field's first benchmark; monitoring only, no recovery.",,
SJEV-RSH-018,research_papers,Ivanov-Dolgui canon + 2025 MDPI review,102,"citations (2025 review, approx)",~102 citations,FACT,Ivanov and Dolgui (2019-2025); MDPI review,2019-2025,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,15,21,Ch.6; source index #13,"Ripple effect, stress testing, digital supply chain twins, TTR/TTS viability metrics - the theoretical backbone for digital twins.",,
SJEV-RSH-026,research_papers,Resilience metrics citation anchors,"118 / 1,804 / 822",citations,"118; 1,804; 822",FACT,Bruckler 2024; Hosseini 2019; Golan 2020,2019-2024,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,15,21,Table 5,"Citation counts: Bruckler 2024 (118); Hosseini 2019 (1,804); Golan 2020 (822) - resilience metric taxonomy is rich in literature.",,
SJEV-RSH-027,research_papers,GIFT-Eval benchmark,well over 200,citations,200+,FACT,Salesforce AI Research (arXiv),2024-11-11,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,17,23,Ch.7; references,Published on arXiv in November 2024 and already cited well over two hundred times; standardizes zero-shot evaluation across domains and frequencies; the associated tsfm.ai leaderboard now even ranks agentic forecasting systems.,,
SJEV-HF-001,open_source_models,Chronos-Bolt / Chronos-2 (Amazon),~5% lower error; up to 250x faster; 20x less memory,,250x faster; 20x less memory,FACT,Amazon (Hugging Face model cards),2024-11,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,18,24,Table 6,Bolt released Nov 2024; Chronos-2 listed as the production-ready foundation model of 2026. Role: zero-shot forecasting of temperature drift and arrival-time risk from telemetry windows. License: Apache-2.0 (per model card).,,
SJEV-HF-004,open_source_models,IBM Granite TinyTimeMixer TTM-R3,from ~1M parameters; TTM paper ~293 citations,,~1M params; ~293 citations,FACT,IBM (Hugging Face),2026-08,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,18,24,Table 6,TTM-R3 released Aug 2026; GPU-free inference; TTM paper cited ~293 times. Role: edge and budget scoring inside the demo where LLM calls are too slow or costly; scores on a laptop (offline resilience).,,
SJEV-OSS-001,open_source_tools,LangGraph,MIT,license,MIT,FACT,Open source,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Ch.7.1; Table 7,"Multi-agent state machine, HITL interrupts, checkpointing. Verdict: MUST - orchestration backbone. Native human-in-the-loop interrupts: an agent graph can pause mid-flow, emit an approval request, and resume on human input.",,
SJEV-OSS-002,open_source_tools,SimPy,MIT,license,MIT,FACT,Open source,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Table 7,Process-based discrete-event simulation; disruption replay engine. Verdict: MUST - digital twin core.,,
SJEV-OSS-003,open_source_tools,amzn/supply-chain-simulation-environment (miniSCOT),Apache-2.0 (verify at import),license,Apache-2.0,FACT,Amazon (GitHub),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Table 7; source index #32,Amazon's supply network simulator; tunable fidelity. Verdict: SHOULD - reference architecture.,,
SJEV-OSS-004,open_source_tools,Mesa (+ mesa-examples),Apache-2.0,license,Apache-2.0,FACT,Open source,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Table 7,Agent-based modeling in Python. Verdict: NICE - stretch layer.,,
SJEV-OSS-005,open_source_tools,Pyomo + HiGHS,BSD / MIT-style,license,BSD / MIT-style,FACT,Open source,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Table 7,Algebraic MILP modeling + open solver. Verdict: MUST - re-planning engine.,,
SJEV-OSS-006,open_source_tools,"Google OR-Tools (CP-SAT, routing, MathOpt)",Apache-2.0,license,Apache-2.0,FACT,Google (open source),,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,19,25,Table 7,"VRP re-routing, constraint programming. Verdict: MUST - routing layer.",,
SJEV-OSS-007,open_source_tools,Kaggle 'Supply Chain Disruption and Recovery Dataset',Open (Kaggle terms),license,Open,FACT,Kaggle,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,20,26,Table 7; source index #35,"Supplier traits, severity, response strategies, recovery timelines. Verdict: MUST - seed data for benchmark. Also listed as priors source for Supplier entity (Table 21).",,
SJEV-OSS-008,open_source_tools,NY Fed GSCPI,Public,access,Public,FACT,newyorkfed.org,monthly,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,20,26,Table 7; source index #34,Monthly global supply chain pressure index - demo-grade macro signal. Verdict: SHOULD - macro overlay. Also an A1 agent input (GSCPI macro index).,,
SJEV-OSS-009,open_source_tools,Open-Meteo / NOAA-style weather feeds,Open,access,Open,FACT,Open-Meteo / NOAA,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,20,26,Table 7,Free weather + cyclone alerts for sensing demos. Verdict: MUST - live signal source.,,
SJEV-OSS-010,open_source_tools,GDELT-style news event feeds,Open,access,Open,FACT,GDELT,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,20,26,Table 7,Global event stream for NLP screening. Verdict: SHOULD - news sensing.,,
SJEV-SAP-001,sap_ecosystem,Sapphire 2026: Autonomous Supply Chain Management launch,6 Joule Assistants; 60+ AI agents,,6 assistants + 60+ agents,FACT,SAP news.sap.com,2026-05-14 + 2026-05-22,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,2,8,"Ch.1 'Why now'; Ch.11.1 (p.26); source index #4,#5","SAP launched Autonomous Supply Chain Management built around 6 Joule Assistants and 60+ AI agents, with its own headline: 'The autonomous supply chain is becoming the new operating model to help businesses sense, decide, and act faster.'",,
SJEV-SAP-002,sap_ecosystem,SAP Connect (Oct 2025): 14 Joule Agents announced,14,Joule Agents,14 agents; GA Q1 2026; 3 for SCM,FACT,"SAP news.sap.com (Oct 9, 2025); savictech.com",2025-10-09,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,26,32,Ch.11.1; source index #5,14 Joule Agents were announced with Q1 2026 GA - three of them explicitly for supply chain management.,,
SJEV-SAP-003,sap_ecosystem,April 2026 SAP agent count claim,"40+ specialized agents; roughly 2,400 skills",,"40+ agents; ~2,400 skills",FACT,SAP,2026-04,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,26,32,Ch.11.1,"By April 2026 SAP claimed 40+ specialized agents and roughly 2,400 skills.",,
SJEV-SAP-005,sap_ecosystem,Sapphire 2026 Autonomous Enterprise platform,50+ Joule agents,,more than fifty Joule agents,FACT,SAP,2026-05,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,27,33,Ch.11.1 closing,"At Sapphire in May 2026 SAP introduced the Autonomous Enterprise: a Business AI platform with more than fifty Joule agents, Claude integration and NVIDIA's secure agent runtime; two days into the conference it announced Autonomous Supply Chain Management enabled by new Joule assistants and industry AI scenarios - including a batch management agent.",,
SJEV-SAP-008,sap_ecosystem,SAP Ariba Risk Exposure API,500,suppliers per call (up to),up to 500 suppliers per call; ARI-19205,FACT,help.sap.com,2024-2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,26,32,Table 10; Ch.17.3 (p.53); source index #6,"Supplier Risk data (financial, regulatory, legal); Risk Exposure API returns up to 500 suppliers' risk scores per call (doc ref ARI-19205). Use: Compliance agent screens alternative suppliers' risk before switching. Mock returning risk-score batches in contract shape.",,
SJEV-REG-007,regulatory,Controlled room temperature bounds,"20-25C, short excursions 15-30C",degrees Celsius,20-25; 15-30,FACT,USP chapters,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,21,27,Ch.8,These chapters define the ordinary world - controlled room temperature of 20-25 degrees Celsius with allowable short excursions between 15 and 30 - precisely the kind of bound an agent can be programmed against.,,
SJEV-IND-001,india_data,India pharmaceutical exports FY2024-25,30.47,USD billion,$30.47bn,FACT,"Press Information Bureau, Government of India",2025-12-17,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,22,28,Ch.9; references,"Pharmaceutical exports reached 30.47 billion dollars in fiscal 2024-25, growing 9.4 percent year on year.",,
SJEV-IND-002,india_data,Record monthly pharma exports,3.68,USD billion (single month),$3.68bn,FACT,PIB context,2025-03,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,22,28,Ch.9,A record 3.68 billion dollar month in March 2025.,,
SJEV-IND-003,india_data,Formulations and biologicals share of export value,74.2% (~$23.08bn),percent / USD,74.2%; about 23.08 billion dollars,FACT,PIB / trade data,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,22,28,Ch.9,Formulations and biologicals account for 74.2 percent of export value at about 23.08 billion dollars.,,
SJEV-IND-004,india_data,Pharma trade balance,+21.5,USD billion (near),plus 21.5 billion dollars,FACT,Trade data,,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,22,28,Ch.9,The trade balance stands near plus 21.5 billion dollars.,,
SJEV-IND-005,india_data,India pharma exports FY2023-24,27.9,USD billion,$27.9bn,FACT,Actizain,2026-03-14,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,24,30,Ch.9.1; source index #22,India pharma exports $27.9bn FY2023-24 - the segment anchor for the persona and go-to-market.,,
SJEV-IND-006,india_data,Bain vaccine export projections,$1.1bn today to $3bn by 2030; up to $24bn by 2047,USD,$1.1bn; $3bn (2030); $24bn (2047),FACT,Bain & Company,2025-02-08,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,22,28,Ch.9; references,Bain's 2025 roadmap projects vaccine exports alone rising from roughly 1.1 billion dollars today to 3 billion by 2030 and as much as 24 billion by 2047.,,
SJEV-IND-007,india_data,India API/KSM dependency on China,70% APIs; 70-90% KSMs,percent,70%; 70-90%,FACT,"Chatterjee, PMC 2020; drugpatentwatch (Jan 20, 2026); CFR (Jun 3, 2026); ORF (Dec 10, 2025)",2020-2026,SANJEEVANI_SAP_Hackfest_2026_Unified_Dossier.pdf,5,11,Ch.2.2; Ch.9.1 (p.24); source index #21,"India sources roughly 70% of APIs (and 70-90% of key starting materials) from China, so a single regional shutdown propagates directly into the world's medicine cabinet.",,
